iter	Passed	Remaining
0	47	47092
1	47	23677
2	47	15943
3	48	12088
4	49	9767
5	49	8222
6	50	7113
7	50	6281
8	51	5633
9	51	5095
10	52	4702
11	52	4347
12	53	4049
13	54	3810
14	54	3578
15	54	3382
16	55	3209
17	56	3056
18	56	2928
19	56	2790
20	57	2678
21	58	2578
22	58	2486
23	59	2400
24	59	2322
25	60	2262
26	60	2195
27	61	2133
28	61	2075
29	62	2015
30	62	1965
31	63	1917
32	63	1872
33	64	1830
34	64	1790
35	65	1752
36	65	1716
37	66	1683
38	66	1650
39	67	1619
40	68	1611
41	69	1582
42	69	1555
43	70	1532
44	71	1508
45	71	1484
46	72	1470
47	73	1448
48	73	1426
49	74	1406
50	74	1381
51	74	1363
52	75	1345
53	75	1328
54	76	1311
55	76	1295
56	77	1277
57	77	1262
58	78	1246
59	78	1232
60	79	1218
61	79	1205
62	80	1192
63	80	1183
64	81	1172
65	82	1160
66	82	1146
67	82	1134
68	83	1124
69	83	1114
70	84	1103
71	85	1100
72	85	1091
73	86	1082
74	86	1070
75	87	1062
76	87	1053
77	88	1047
78	89	1039
79	89	1031
80	90	1024
81	90	1016
82	91	1009
83	91	1002
84	92	992
85	92	986
86	93	983
87	94	977
88	95	974
89	95	968
90	96	961
91	96	955
92	97	949
93	98	947
94	98	941
95	99	938
96	99	930
97	100	925
98	101	919
99	101	914
100	102	909
101	103	911
102	105	921
103	106	916
104	106	909
105	107	908
106	108	903
107	108	898
108	109	893
109	109	889
110	110	886
111	111	882
112	111	877
113	112	873
114	112	869
115	113	865
116	114	863
117	114	858
118	115	854
119	116	857
120	117	853
121	119	856
122	119	849
123	119	845
124	120	841
125	120	835
126	121	832
127	121	828
128	122	827
129	123	823
130	123	820
131	124	816
132	124	813
133	125	809
134	125	806
135	126	803
136	126	799
137	127	795
138	127	792
139	128	789
140	129	786
141	129	783
142	131	787
143	131	784
144	132	781
145	133	778
146	133	775
147	134	772
148	134	769
149	135	766
150	135	763
151	136	760
152	136	757
153	137	755
154	137	752
155	138	749
156	140	752
157	140	749
158	141	747
159	141	744
160	142	741
161	142	738
162	143	736
163	143	733
164	144	731
165	145	729
166	145	727
167	146	724
168	146	722
169	147	719
170	147	717
171	148	715
172	149	713
173	149	710
174	150	708
175	150	706
176	151	704
177	152	702
178	152	700
179	153	698
180	155	702
181	155	700
182	156	698
183	156	695
184	157	693
185	157	691
186	158	689
187	159	687
188	159	684
189	160	682
190	161	683
191	161	681
192	162	679
193	163	677
194	163	675
195	164	675
196	165	673
197	165	671
198	166	669
199	166	667
200	167	665
201	167	663
202	168	661
203	169	659
204	169	657
205	170	655
206	170	654
207	171	652
208	171	650
209	172	649
210	173	648
211	173	646
212	174	644
213	174	642
214	175	640
215	176	638
216	176	637
217	178	639
218	178	637
219	179	635
220	179	633
221	180	632
222	181	630
223	181	629
224	182	627
225	184	630
226	184	629
227	185	627
228	185	625
229	186	623
230	186	621
231	187	620
